02025000000,Caudete,Municipio,38.70573009,-0.9886912,554,es2060
02026000000,Cenizate,Municipio,39.30332101,-1.66113349,706,es2098
02027000000,Corral-Rubio,Municipio,38.83500072,-1.4608525,870,es2362
02028000000,Cotillas,Municipio,38.43135915,-2.50574545,947,es2394
02029000000,Chinchilla de Monte-Aragón,Municipio,38.9210968,-1.72602643,907,es2179
02030000000,Elche de la Sierra,Municipio,38.44790893,-2.04781376,630,es2555
02031000000,Férez,Municipio,38.35567013,-2.00953934,682,es2737
02032000000,Fuensanta,Municipio,39.24466001,-2.06725219,693,es2890
02033000000,Fuente-Álamo,Municipio,38.69314229,-1.43170411,820,es2912
02034000000,Fuentealbilla,Municipio,39.26773579,-1.54879364,670,es2915
02035000000,La Gineta,Municipio,39.11387916,-1.99784496,691,es3116
02036000000,Golosalvo,Municipio,39.23996013,-1.63626863,740,es3131
02037000000,Hellín,Municipio,38.51218953,-1.70344921,570,es3269
02038000000,La Herrera,Municipio,38.9621774,-2.12637236,714,es3292
02039000000,Higueruela,Municipio,38.96455026,-1.44535609,1041,es3318
02040000000,Hoya-Gonzalo,Municipio,38.95787352,-1.55687053,929,es3390
02041000000,Jorquera,Municipio,39.17457441,-1.52061391,624,es3580
02042000000,Letur,Municipio,38.36632081,-2.10096881,735,es3727
02043000000,Lezuza,Municipio,38.94878996,-2.35387427,913,es3734
02044000000,Liétor,Municipio,38.54083745,-1.95479319,641,es3742
02045000000,Madrigueras,Municipio,39.23680339,-1.7997012,688,es3904
02046000000,Mahora,Municipio,39.21303088,-1.72481837,663,es3920
02047000000,Masegoso,Municipio,38.71877813,-2.31511768,1108,es4057
02048000000,Minaya,Municipio,39.27118701,-2.31961973,723,es4218
02049000000,Molinicos,Municipio,38.46778179,-2.23898151,851,es4272
02050000000,Montalvos,Municipio,39.16721439,-2.02769341,709,es4334
02051000000,Montealegre del Castillo,Municipio,38.78717469,-1.32487672,810,es4351
02052000000,Motilleja,Municipio,39.17948885,-1.79025762,676,es4472
02053000000,Munera,Municipio,39.03954575,-2.4830388,929,es4496
02054000000,Navas de Jorquera,Municipio,39.28099513,-1.7189485,708,es4628
02055000000,Nerpio,Municipio,38.14824043,-2.30224029,1085,es4658
02056000000,Ontur,Municipio,38.61472661,-1.49888166,653,es4814
02057000000,Ossa de Montiel,Municipio,38.96201035,-2.74272664,898,es4877
02058000000,Paterna del Madera,Municipio,38.59729435,-2.34555766,1126,es5025
02059000000,Peñascosa,Municipio,38.67153536,-2.41040499,1169,es5111
02060000000,Peñas de San Pedro,Municipio,38.72688881,-2.00212787,1010,es5110
02061000000,Pétrola,Municipio,38.82629814,-1.55549981,870,es5169
02062000000,Povedilla,Municipio,38.70163971,-2.60393627,872,es5360
02063000000,Pozohondo,Municipio,38.721122,-1.91133356,871,es5379
02064000000,Pozo-Lorente,Municipio,39.07663024,-1.50647855,769,es5375
02065000000,Pozuelo,Municipio,38.80969625,-2.10117384,845,es5386
02066000000,La Recueja,Municipio,39.17688319,-1.48988779,542,es5630
02067000000,Riópar,Municipio,38.4998099,-2.41839311,1126,es5745
02068000000,Robledo,Municipio,38.75778452,-2.44882682,1041,es5777
02069000000,La Roda,Municipio,39.20706504,-2.15924796,708,es5792
02070000000,Salobre,Municipio,38.59195258,-2.55057256,920,es5928
02071000000,San Pedro,Municipio,38.82654004,-2.186211,844,es6072
02072000000,Socovos,Municipio,38.33202632,-1.98469065,734,es6562
02073000000,Tarazona de la Mancha,Municipio,39.26539647,-1.91280979,713,es6698
02074000000,Tobarra,Municipio,38.5922733,-1.69282296,652,es6783
02075000000,Valdeganga,Municipio,39.13545152,-1.67646922,667,es7166
02076000000,Vianos,Municipio,38.632307,-2.50149079,1118,es7454
02077000000,Villa de Ves,Municipio,39.22231541,-1.25897631,744,es7545
02078000000,Villalgordo del Júcar,Municipio,39.29598679,-2.06309183,683,es7651
02079000000,Villamalea,Municipio,39.36160785,-1.59908353,739,es7666
02080000000,Villapalacios,Municipio,38.57467359,-2.63505947,837,es7779
02081000000,Villarrobledo,Municipio,39.26755792,-2.60714311,728,es7855
02082000000,Villatoya,Municipio,39.33385264,-1.33858599,409,es7893
02083000000,Villavaliente,Municipio,39.12645758,-1.45799642,726,es7900
02084000000,Villaverde de Guadalimar,Municipio,38.45619162,-2.5176095,789,es7905
02085000000,Viveros,Municipio,38.77363475,-2.57590915,1012,es7985
02086000000,Yeste,Municipio,38.36643865,-2.31903072,878,es8024
02901000000,Pozo Cañada,Municipio,38.801361,-1.73622317,830,es5371
03001000000,l'Atzúbia,Municipio,38.84743029,-0.15173035,99,es62
03002000000,Agost,Municipio,38.43949316,-0.63891979,331,es70
03003000000,Agres,Municipio,38.78000404,-0.51595543,719,es73
03004000000,Aigües,Municipio,38.49887092,-0.36258669,332,es109
03005000000,Albatera,Municipio,38.17894636,-0.86792141,15,es176
03006000000,Alcalalí,Municipio,38.74965349,-0.04160798,226,es233
03007000000,Alcocer de Planes,Municipio,38.79447224,-0.40197036,345,es259
03008000000,Alcoleja,Municipio,38.67548564,-0.33100925,735,es269
03009000000,Alcoy/Alcoi,Municipio,38.69836894,-0.47318376,561,es285
03010000000,Alfafara,Municipio,38.77274828,-0.55552339,580,es364
03011000000,l'Alfàs del Pi,Municipio,38.58009496,-0.1026002,89,es379
03012000000,Algorfa,Municipio,38.08681637,-0.79568423,23,es411
03013000000,Algueña,Municipio,38.33800138,-1.00303745,530,es414
03014000000,Alicante/Alacant,Municipio,38.34548705,-0.4831832,5,es428
03015000000,Almoradí,Municipio,38.10977991,-0.79201713,10,es507
03016000000,Almudaina,Municipio,38.76155764,-0.35370678,570,es510
03017000000,l'Alqueria d'Asnar,Municipio,38.77311802,-0.42552267,363,es537
03018000000,Altea,Municipio,38.59892497,-0.05144236,60,es547
03019000000,Aspe,Municipio,38.34577266,-0.76849107,234,es808
03020000000,Balones,Municipio,38.73701039,-0.34237388,670,es915
03021000000,Banyeres de Mariola,Municipio,38.71635902,-0.65685684,812,es938
03022000000,Benasau,Municipio,38.68991329,-0.34261264,705,es1118
03023000000,Beneixama,Municipio,38.70018533,-0.76676743,592,es1126
03024000000,Benejúzar,Municipio,38.07806375,-0.83819517,23,es1128
03025000000,Benferri,Municipio,38.14179352,-0.9622579,56,es1130
03026000000,Beniarbeig,Municipio,38.82193219,-0.00130364,42,es1131
03027000000,Beniardá,Municipio,38.68343356,-0.21600764,464,es1132
03028000000,Beniarrés,Municipio,38.82007885,-0.37904234,385,es1134
03029000000,Benigembla,Municipio,38.75633514,-0.10982699,311,es1151
03030000000,Benidoleig,Municipio,38.791917,-0.03173239,124,es1140
03031000000,Benidorm,Municipio,38.53427136,-0.1306853,11,es1141
03032000000,Benifallim,Municipio,38.66273419,-0.39922559,738,es1147
03033000000,Benifato,Municipio,38.67369418,-0.22888967,663,es1148
03034000000,Benijófar,Municipio,38.0808408,-0.73828051,22,es1152
03035000000,Benilloba,Municipio,38.69955909,-0.3908201,521,es1153
03036000000,Benillup,Municipio,38.75380301,-0.3789958,564,es1154
03037000000,Benimantell,Municipio,38.67659254,-0.20984798,546,es1155
03038000000,Benimarfull,Municipio,38.77584801,-0.39099875,414,es1156
03039000000,Benimassot,Municipio,38.74905825,-0.291855,725,es1157
03040000000,Benimeli,Municipio,38.82296616,-0.04146491,93,es1158
03041000000,Benissa,Municipio,38.7151969,0.05043358,254,es1164
03042000000,Benitachell/el Poble Nou de Benitatxell,Municipio,38.73292416,0.14459559,163,es1168
03043000000,Biar,Municipio,38.62996229,-0.76597374,697,es1244
03044000000,Bigastro,Municipio,38.06301558,-0.89528476,23,es1254
03045000000,Bolulla,Municipio,38.67657681,-0.11168494,213,es1320
03046000000,Busot,Municipio,38.4819618,-0.42050568,312,es1446
03047000000,Calp,Municipio,38.64526261,0.04453809,55,es1576
03048000000,Callosa d'en Sarrià,Municipio,38.65164066,-0.12235041,250,es1569
03049000000,Callosa de Segura,Municipio,38.12258136,-0.87933854,20,es1570
03050000000,el Campello,Municipio,38.42754724,-0.40086509,26,es1619
03051000000,Campo de Mirra/el Camp de Mirra,Municipio,38.68719624,-0.77925393,585,es1641
03052000000,Cañada,Municipio,38.67518917,-0.80952172,556,es1663
03053000000,Castalla,Municipio,38.59657643,-0.67026538,669,es1905
03054000000,Castell de Castells,Municipio,38.72499704,-0.19391054,549,es1925
03055000000,Catral,Municipio,38.15964959,-0.80464175,8,es2059
03056000000,Cocentaina,Municipio,38.74541202,-0.44022067,433,es2259
03057000000,Confrides,Municipio,38.68353731,-0.26810894,780,es2311
03058000000,Cox,Municipio,38.13972138,-0.88437585,16,es2400
03059000000,Crevillent,Municipio,38.24881414,-0.80855322,129,es2409
03060000000,Quatretondeta,Municipio,38.72386675,-0.31641906,620,es5538
03061000000,Daya Nueva,Municipio,38.11371672,-0.76103525,8,es2486
03062000000,Daya Vieja,Municipio,38.1047248,-0.73805702,6,es2487
03063000000,Dénia,Municipio,38.84122705,0.10661934,13,es2496
03064000000,Dolores,Municipio,38.13897736,-0.76969869,4,es2512
03065000000,Elche/Elx,Municipio,38.26741662,-0.69775581,82,es2556
03066000000,Elda,Municipio,38.47878894,-0.79611046,395,es2558
03067000000,Facheca,Municipio,38.73467536,-0.26771337,769,es2714
03068000000,Famorca,Municipio,38.73219338,-0.24604552,684,es2718
03069000000,Finestrat,Municipio,38.56697349,-0.2117688,264,es2760
03070000000,Formentera del Segura,Municipio,38.08423377,-0.74649853,8,es2812
03071000000,Gata de Gorgos,Municipio,38.7732101,0.08427495,79,es3071
03072000000,Gaianes,Municipio,38.81311114,-0.40755768,420,es2984
03073000000,Gorga,Municipio,38.71833445,-0.35671735,542,es3146
03074000000,Granja de Rocamora,Municipio,38.15262779,-0.89001674,17,es3175
03075000000,el Castell de Guadalest,Municipio,38.67694213,-0.19735239,571,es1926
03076000000,Guardamar del Segura,Municipio,38.08988071,-0.65477035,27,es3217
03077000000,el Fondó de les Neus/Hondón de las Nieves,Municipio,38.30855695,-0.85486637,367,es2782
03078000000,Hondón de los Frailes,Municipio,38.27358559,-0.92699487,413,es3344
03079000000,Ibi,Municipio,38.62745682,-0.57466482,754,es3452
03080000000,Jacarilla,Municipio,38.06070041,-0.86635637,25,es3537
03081000000,Xaló,Municipio,38.74069906,-0.01192072,188,es3543
03082000000,Jávea/Xàbia,Municipio,38.78925837,0.16340067,48,es3561
03083000000,Jijona/Xixona,Municipio,38.53902509,-0.50791278,462,es3570
03084000000,Lorcha/l'Orxa,Municipio,38.84403413,-0.31125116,267,es3833
03085000000,Llíber,Municipio,38.74347137,0.006304,191,es3783
03086000000,Millena,Municipio,38.73087323,-0.36337482,635,es4214
03088000000,Monforte del Cid,Municipio,38.37928097,-0.72989187,228,es4312
03089000000,Monóvar/Monòver,Municipio,38.43721579,-0.83780533,390,es4317
03090000000,Mutxamel,Municipio,38.41368396,-0.44522331,63,es4540
03091000000,Murla,Municipio,38.75958883,-0.08306874,283,es4526
03092000000,Muro de Alcoy,Municipio,38.77998192,-0.4357044,391,es4529
03093000000,Novelda,Municipio,38.38606382,-0.76539782,241,es4695
03094000000,la Nucia,Municipio,38.61761623,-0.12289748,216,es4700
03095000000,Ondara,Municipio,38.82692459,0.01764367,36,es4807
03096000000,Onil,Municipio,38.62952092,-0.6740463,701,es4809
03097000000,Orba,Municipio,38.78039233,-0.06371253,154,es4817
03098000000,Orxeta,Municipio,38.56400384,-0.2618598,176,es4867
03099000000,Orihuela,Municipio,38.08574117,-0.94664572,25,es4842
03100000000,Parcent,Municipio,38.74571695,-0.06446788,290,es4992
03101000000,Pedreguer,Municipio,38.7935383,0.03432468,85,es5048
03102000000,Pego,Municipio,38.84201714,-0.11803172,82,es5075
03103000000,Penàguila,Municipio,38.67944195,-0.35881625,682,es5094
03104000000,Petrer,Municipio,38.48480043,-0.76953712,465,es5167
03105000000,el Pinós/Pinoso,Municipio,38.40441177,-1.04195399,591,es5228
03106000000,Planes,Municipio,38.78583429,-0.34478535,451,es5249
03107000000,Polop,Municipio,38.62255314,-0.12654723,239,es5303
03109000000,Rafal,Municipio,38.10480713,-0.84889051,13,es5598
03110000000,el Ràfol d'Almúnia,Municipio,38.82066727,-0.05280018,87,es5603
03111000000,Redován,Municipio,38.1140353,-0.90524865,28,es5638
03112000000,Relleu,Municipio,38.58727823,-0.31086389,435,es5649
03113000000,Rojales,Municipio,38.08892037,-0.7231866,8,es5803
03114000000,la Romana,Municipio,38.36742371,-0.8960138,419,es5807
03115000000,Sagra,Municipio,38.81142807,-0.06512199,103,es5886
03116000000,Salinas,Municipio,38.52006995,-0.91278122,493,es5916
03117000000,Sanet y Negrals,Municipio,38.81916633,-0.03373355,83,es6125
03118000000,San Fulgencio,Municipio,38.11222765,-0.71879025,4,es6002
03119000000,Sant Joan d'Alacant,Municipio,38.40151192,-0.43660694,40,es6174
03120000000,San Miguel de Salinas,Municipio,37.97713811,-0.78930554,87,es6053
03121000000,Santa Pola,Municipio,38.1931155,-0.55528061,4,es6347
03122000000,San Vicente del Raspeig/Sant Vicent del Raspeig,Municipio,38.39613348,-0.52499072,107,es6109
03123000000,Sax,Municipio,38.53849557,-0.81692328,473,es6445
03124000000,Sella,Municipio,38.60812245,-0.27218087,412,es6467
03125000000,Senija,Municipio,38.72826598,0.04175328,231,es6481
03127000000,Tàrbena,Municipio,38.69363337,-0.1019394,559,es6699
03128000000,Teulada,Municipio,38.72911733,0.10231946,183,es6753
03129000000,Tibi,Municipio,38.53125236,-0.57799241,517,es6757
03130000000,Tollos,Municipio,38.75700785,-0.27417974,776,es6794
03131000000,Tormos,Municipio,38.80205024,-0.0723226,129,es6827
03132000000,Torremanzanas/la Torre de les Maçanes,Municipio,38.60676744,-0.41885176,791,es6929
03133000000,Torrevieja,Municipio,37.97775873,-0.68302608,7,es6967
03134000000,la Vall d'Alcalà,Municipio,38.79456237,-0.25201489,639,es7261
03135000000,la Vall d'Ebo,Municipio,38.80574426,-0.15985139,392,es7268
03136000000,Vall de Gallinera,Municipio,38.82200923,-0.22174105,293,es7269
03137000000,la Vall de Laguar,Municipio,38.77743427,-0.10944662,439,es7270
03138000000,el Verger,Municipio,38.84290338,0.01012098,21,es7441
03139000000,Villajoyosa/la Vila Joiosa,Municipio,38.50545611,-0.2319288,16,es7625
03140000000,Villena,Municipio,38.62963811,-0.86138343,503,es7933
03901000000,els Poblets,Municipio,38.85116436,0.01680187,13,es5283
03902000000,Pilar de la Horadada,Municipio,37.86372554,-0.79242783,32,es5187
03903000000,Los Montesinos,Municipio,38.02749921,-0.74364774,19,es4381
03904000000,San Isidro,Municipio,38.17123285,-0.83836588,10,es6005
04001000000,Abla,Municipio,37.1412099,-2.77953953,853,es32
04002000000,Abrucena,Municipio,37.13218285,-2.7974669,986,es36
04003000000,Adra,Municipio,36.74868325,-3.02330257,14,es56
04004000000,Albánchez,Municipio,37.28686167,-2.18135854,487,es168
04005000000,Alboloduy,Municipio,37.03339629,-2.62168571,381,es199
04006000000,Albox,Municipio,37.38850758,-2.14799133,420,es208
04007000000,Alcolea,Municipio,36.97361957,-2.96066637,746,es262
04008000000,Alcóntar,Municipio,37.33611796,-2.59756879,955,es279
